"","x"
"1","S100A8"
"2","IGKV3-11"
"3","S100A9"
"4","IGKV3-20"
"5","IGLV2-14"
"6","IGKV1-5"
"7","IGHV4-39"
"8","IGKV4-1"
"9","IGKV3-15"
"10","LYZ"
"11","IGLV1-40"
"12","IGHV3-23"
"13","IGHV3-30"
"14","CST3"
"15","IGHV1-18"
"16","IGHV4-34"
"17","IGLV1-51"
"18","IGHV3-7"
"19","IGLV3-19"
"20","PPBP"
"21","IGLV2-8"
"22","IGLV3-21"
"23","IGHV3-21"
"24","IGHV1-69D"
"25","CD74"
"26","IGHV2-5"
"27","HLA-DRA"
"28","IGLV3-1"
"29","IGHV3-15"
"30","TRBV7-2"
"31","IGHV4-4"
"32","IGLV1-47"
"33","IGHV1-2"
"34","LYPD2"
"35","S100A12"
"36","IGKV2-30"
"37","IGHV1-3"
"38","IGHV3-11"
"39","HLA-DRB1"
"40","AC233755.2"
"41","IGLV1-44"
"42","FOS"
"43","TRBV12-3"
"44","IGHV5-51"
"45","IGLV2-23"
"46","FCN1"
"47","TRBV10-3"
"48","IGHV4-59"
"49","FTH1"
"50","HLA-DPA1"
"51","LST1"
"52","AIF1"
"53","SAT1"
"54","TYROBP"
"55","SERPINA1"
"56","CTSS"
"57","TYMP"
"58","SPI1"
"59","MAL"
"60","LDHB"
"61","LEF1"
"62","LTB"
"63","IL7R"
"64","NOSIP"
"65","CD40LG"
"66","INPP4B"
"67","CD4"
"68","TCF7"
"69","TRAT1"
"70","CCR7"
"71","AQP3"
"72","FHIT"
"73","LDLRAP1"
"74","CD8B"
"75","CD8A"
"76","CCL5"
"77","GZMK"
"78","CST7"
"79","NKG7"
"80","CTSW"
"81","DUSP2"
"82","TRAV1-2"
"83","KLRG1"
"84","GZMA"
"85","NCR3"
"86","LYAR"
"87","GZMH"
"88","KLRB1"
"89","GNLY"
"90","GZMB"
"91","SPON2"
"92","PRF1"
"93","CLIC3"
"94","MYOM2"
"95","FGFBP2"
"96","CCL4"
"97","FCGR3A"
"98","KLRD1"
"99","HOPX"
"100","SH2D1B"
"101","CD79A"
"102","MS4A1"
"103","TCL1A"
"104","HLA-DQB1"
"105","HLA-DQA1"
"106","IGHM"
"107","HLA-DPB1"
"108","CD79B"
"109","LINC00926"
"110","BANK1"
"111","HLA-DRB5"
"112","FCRLA"
"113","JCHAIN"
"114","FAM129C"
"115","RALGPS2"
"116","CLEC10A"
"117","LILRA4"
"118","PLD4"
"119","GRN"
"120","NCAM1"
"121","CD3E"
"122","CD19"
"123","CD14"
"124","ITGAX"
"125","NECTIN2"
"126","ITGAL"
"127","IL3RA"
"128","FUT4"
"129","PVR"
"130","KIR3DL1"
"131","CD163"
"132","SIGLEC1"
"133","ITGB2"
"134","CCR3"
"135","CCR4"
"136","CCR6"
"137","CD1C"
"138","CD2"
"139","CR2"
"140","CD22"
"141","CD226"
"142","CD244"
"143","IL2RA"
"144","TNFRSF13C"
"145","CD27"
"146","ICOS"
"147","PDCD1"
"148","ITGB1"
"149","LAIR1"
"150","PECAM1"
"151","KLRK1"
"152","FCGR2A"
"153","SIGLEC7"
"154","CD33"
"155","NCR1"
"156","CR1"
"157","CD36"
"158","HAVCR2"
"159","CD38"
"160","ENTPD1"
"161","ITGA2B"
"162","PTPRC"
"163","CD47"
"164","ITGA2"
"165","ITGA4"
"166","ITGA6"
"167","CD5"
"168","CD52"
"169","ICAM1"
"170","B3GAT1"
"171","SELL"
"172","SELP"
"173","FCGR1A"
"174","CD69"
"175","CD7"
"176","TFRC"
"177","NT5E"
"178","FAS"
"179","CD96"
"180","CLEC12A"
"181","IGHD"
"182","TRDV2"
"183","TRAC"
"184","TIGIT"
"185","CXCR3"
"186","CXCR5"
"187","CD24"
"188","THBD"
"189","FCGR2B"
"190","TRBC1"
"191","TRBC2"
"192","CD3D"
"193","CD3G"
"194","FCER1A"
"195","FCER1G"
"196","VEGFA"
"197","VEGFB"
